n_voices,trial,convergence_tick,final_coherence,computational_time_s,is_laman,n_edges,coupling_strength,total_anomalies,harmonic_coherence
2,0,2,0.92968,0.004133,True,1,0.1,0,0.9069
2,1,4,0.887407,0.00421,True,1,0.1,378,0.5261
2,2,12,0.997863,0.017659,True,1,0.1,12,0.889
2,3,6,0.969608,0.018425,True,1,0.1,6,0.9658
2,4,200,0.980521,0.015318,True,1,0.1,14,0.737
2,5,200,0.945117,0.011052,True,1,0.1,24,0.889
2,6,200,0.719028,0.004128,True,1,0.1,400,1.0
2,7,6,0.953457,0.003926,True,1,0.1,8,1.0
2,8,6,0.998766,0.003842,True,1,0.1,0,0.9821
2,9,200,0.946726,0.003853,True,1,0.1,20,0.9411
2,10,200,0.967971,0.004781,True,1,0.1,0,0.9821
2,11,200,0.967898,0.003988,True,1,0.1,0,0.9069
2,12,15,0.991355,0.003855,True,1,0.1,2,0.9232
2,13,9,0.998985,0.003881,True,1,0.1,10,0.889
2,14,3,0.674489,0.004071,True,1,0.1,390,0.9821
2,15,200,0.952011,0.003889,True,1,0.1,0,1.0
2,16,5,0.930403,0.003842,True,1,0.1,6,1.0
2,17,5,0.988772,0.003906,True,1,0.1,4,1.0
2,18,3,0.986662,0.004238,True,1,0.1,0,0.848
2,19,200,0.968916,0.004204,True,1,0.1,0,1.0
3,0,200,0.896888,0.005298,True,3,0.1,186,0.9123
3,1,12,0.975275,0.005394,True,3,0.1,12,0.9123
3,2,200,0.965265,0.005437,True,3,0.1,14,0.811
3,3,200,0.6951,0.00508,True,3,0.1,388,0.9374
3,4,5,0.84603,0.005246,True,3,0.1,371,0.957
3,5,10,0.999907,0.005273,True,3,0.1,6,0.9804
3,6,200,0.974759,0.005142,True,3,0.1,1,0.8927
3,7,200,0.631525,0.005263,True,3,0.1,385,0.8246
3,8,200,0.917488,0.005612,True,3,0.1,24,0.8617
3,9,200,0.65958,0.005113,True,3,0.1,544,0.8927
3,10,200,0.903537,0.005148,True,3,0.1,44,0.932
3,11,200,0.940234,0.005128,True,3,0.1,10,0.8987
3,12,200,0.850279,0.005202,True,3,0.1,204,0.7114
3,13,200,0.872387,0.005357,True,3,0.1,192,0.8617
3,14,200,0.921824,0.005256,True,3,0.1,10,0.9493
3,15,200,0.972269,0.005207,True,3,0.1,16,0.6923
3,16,200,0.989437,0.005251,True,3,0.1,13,1.0
3,17,8,0.936892,0.006485,True,3,0.1,11,0.926
