constraint_a,constraint_b,tightness,trial,entropy,range,density,syncopation,surprise
snap,snap,0.2,0,3.5586,24,1.7163,0.8868,0.9623
snap,snap,0.2,1,3.7036,24,1.7688,0.8909,0.9782
snap,snap,0.2,2,3.3674,24,1.5264,0.9556,0.8912
snap,snap,0.2,3,3.798,24,1.9805,0.8983,0.8093
snap,snap,0.2,4,3.4623,24,2.2429,0.831,0.9383
snap,snap,0.5,0,2.8435,24,1.8831,0.8772,0.8279
snap,snap,0.5,1,3.0081,24,2.6227,0.9268,0.7532
snap,snap,0.5,2,2.9205,24,2.0356,0.9167,0.8166
snap,snap,0.5,3,2.9092,24,1.9661,0.8226,0.9579
snap,snap,0.5,4,2.9573,24,2.5205,0.875,0.7818
snap,snap,0.8,0,1.4464,24,1.6873,0.9623,0.7532
snap,snap,0.8,1,1.4474,24,2.239,0.9275,0.811
snap,snap,0.8,2,1.4573,24,2.1625,0.8923,0.6571
snap,snap,0.8,3,1.5803,24,2.2367,0.9143,0.7721
snap,snap,0.8,4,1.5624,24,2.0373,0.8889,0.8536
snap,funnel,0.2,0,4.1252,24,1.8935,0.931,0.9784
snap,funnel,0.2,1,4.1016,23,2.091,0.875,0.9631
snap,funnel,0.2,2,4.155,24,2.3308,0.8919,0.8918
snap,funnel,0.2,3,3.7382,24,1.6728,0.8627,0.8413
snap,funnel,0.2,4,4.0396,24,1.757,0.9107,0.9791
snap,funnel,0.5,0,3.3932,24,2.2351,0.7246,0.7635
snap,funnel,0.5,1,3.5465,24,2.2591,0.8333,0.9789
snap,funnel,0.5,2,3.1144,24,1.7774,0.7455,0.97
snap,funnel,0.5,3,3.3495,24,1.8279,0.8621,0.8734
snap,funnel,0.5,4,3.3606,24,2.5016,0.8082,0.8432
snap,funnel,0.8,0,2.5891,24,1.4856,0.3261,0.9448
snap,funnel,0.8,1,2.7036,24,2.0656,0.5645,0.8135
snap,funnel,0.8,2,2.6941,24,1.7569,0.4821,0.9611
snap,funnel,0.8,3,2.7108,24,2.3163,0.4722,0.9528
snap,funnel,0.8,4,2.7411,24,2.0057,0.5938,0.9483
snap,consensus,0.2,0,3.8546,20,1.9641,0.9344,0.9664
snap,consensus,0.2,1,3.9757,19,2.6409,0.878,0.6999
snap,consensus,0.2,2,3.8199,19,1.6868,0.8462,0.9391
snap,consensus,0.2,3,3.7981,20,1.6719,0.9245,0.7981
snap,consensus,0.2,4,3.9141,19,2.0892,0.9538,0.8112
snap,consensus,0.5,0,2.8804,12,1.6401,0.82,0.933
snap,consensus,0.5,1,2.8374,12,1.8874,0.875,0.9679
snap,consensus,0.5,2,2.9186,12,2.0834,0.9242,0.7344
snap,consensus,0.5,3,2.7827,12,2.712,0.9186,0.8071
snap,consensus,0.5,4,2.6295,12,2.2396,0.9429,0.8295
snap,consensus,0.8,0,1.5589,4,1.9823,0.9,0.7797
snap,consensus,0.8,1,1.5639,4,2.0876,0.8308,0.7675
snap,consensus,0.8,2,1.9638,5,2.1142,0.8615,0.8321
snap,consensus,0.8,3,1.578,4,2.2909,0.9155,0.788
snap,consensus,0.8,4,1.8413,5,1.964,0.9492,0.8076
snap,tempo,0.2,0,4.2047,24,1.9174,0.7931,0.8497
snap,tempo,0.2,1,4.2364,24,1.984,0.6129,0.8083
snap,tempo,0.2,2,4.1103,24,2.2857,0.7083,0.822
snap,tempo,0.2,3,4.1437,24,2.176,0.7941,0.8965
