epsilon,genre,composition,unique_pitches,entropy,syncopation,constraint_violations,n_events,generation_time_s
0.01,jazz,0,17,3.7954,0.0,30,36,0.001185
0.01,jazz,1,20,4.1147,0.0,31,35,0.000852
0.01,jazz,2,20,4.0576,0.0,28,35,0.000772
0.01,jazz,3,19,3.8599,0.0,27,36,0.004858
0.01,jazz,4,20,4.1958,0.0,28,31,0.000749
0.01,jazz,5,14,3.5554,0.0,24,29,0.00076
0.01,jazz,6,18,3.9987,0.0,27,34,0.000768
0.01,jazz,7,18,4.0576,0.0,26,35,0.004786
0.01,jazz,8,17,3.9292,0.0,30,32,0.000766
0.01,jazz,9,17,3.9398,0.0,28,34,0.000755
0.01,hiphop,0,10,3.0276,0.0,18,23,0.000638
0.01,hiphop,1,15,3.6801,0.0,22,27,0.004707
0.01,hiphop,2,10,3.2618,0.0,16,23,0.001116
0.01,hiphop,3,14,3.6753,0.0,18,23,0.000637
0.01,hiphop,4,11,3.1842,0.0,17,20,0.000557
0.01,hiphop,5,10,3.1972,0.0,12,18,0.00462
0.01,hiphop,6,14,3.6178,0.0,14,21,0.00061
0.01,hiphop,7,13,3.4885,0.0,21,26,0.000636
0.01,hiphop,8,15,3.6574,0.0,20,26,0.000573
0.01,hiphop,9,10,3.1751,0.0,14,17,0.000516
0.01,electronic,0,16,3.8839,0.0,33,48,0.005019
0.01,electronic,1,17,3.7572,0.0,37,49,0.001191
0.01,electronic,2,19,4.0713,0.0,36,43,0.000859
0.01,electronic,3,16,3.8812,0.0,35,41,0.004591
0.01,electronic,4,17,3.848,0.0,38,50,0.00099
0.01,electronic,5,16,3.7685,0.0,31,43,0.001187
0.01,electronic,6,14,3.5917,0.0,38,44,0.004842
0.01,electronic,7,20,4.0561,0.0,35,48,0.001045
0.01,electronic,8,19,3.9707,0.0,38,48,0.001096
0.01,electronic,9,19,3.9759,0.0,33,49,0.001079
0.01,classical,0,9,2.9797,0.0,18,23,0.000636
0.01,classical,1,16,3.882,0.0,20,23,0.000606
0.01,classical,2,14,3.552,0.0,27,29,0.000685
0.01,classical,3,12,3.2527,0.0,19,24,0.000714
0.01,classical,4,14,3.6425,0.0,18,23,0.000543
0.01,classical,5,16,3.9161,0.0,15,21,0.000548
0.01,classical,6,16,3.882,0.0,18,23,0.000738
0.01,classical,7,15,3.7835,0.0,24,25,0.000627
0.01,classical,8,14,3.5884,0.0,17,23,0.000589
0.01,classical,9,15,3.8209,0.0,16,21,0.000394
0.01,math,0,9,2.9736,0.0,11,15,0.000262
0.01,math,1,13,3.5724,0.0,13,18,0.000263
0.01,math,2,12,3.5,0.0,12,16,0.000306
0.01,math,3,9,2.9502,0.0,11,14,0.000252
0.01,math,4,10,3.1069,0.0,8,15,0.000295
0.01,math,5,9,3.027,0.0,5,13,0.000219
0.01,math,6,10,3.2516,0.0,9,12,0.000259
0.01,math,7,10,3.182,0.0,11,14,0.000304
0.01,math,8,10,3.1899,0.0,12,15,0.000348
0.01,math,9,10,3.182,0.0,11,14,0.00025
0.0621,jazz,0,18,3.9138,0.0,25,36,0.000583
0.0621,jazz,1,19,4.0668,0.0,28,31,0.000431
0.0621,jazz,2,19,4.0087,0.0,31,35,0.000509
0.0621,jazz,3,16,3.7602,0.0,36,39,0.000566
0.0621,jazz,4,16,3.6436,0.0,24,31,0.000436
0.0621,jazz,5,19,4.107,0.0,32,36,0.000691
0.0621,jazz,6,19,4.0144,0.0,25,35,0.000708
0.0621,jazz,7,17,3.9134,0.0,23,31,0.000431
0.0621,jazz,8,20,4.1217,0.0,31,39,0.000525
0.0621,jazz,9,18,3.9369,0.0,26,34,0.000464
0.0621,hiphop,0,16,3.7359,0.0,23,28,0.000364
0.0621,hiphop,1,16,3.7229,0.0,22,28,0.000329
0.0621,hiphop,2,11,3.2464,0.0,15,20,0.000267
