generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_scale_fit,best_density_fit,best_sync_fit,genre
0,0.853829,0.46739,0.693178,0.085166,0.9481,0.7559,0.7737,jazz
1,0.898348,0.543393,0.728436,0.083233,0.9143,0.9609,0.8092,jazz
2,0.915872,0.562072,0.772871,0.091914,0.9466,0.9654,0.9129,jazz
3,0.921233,0.61937,0.818107,0.07075,0.9489,0.9239,0.9129,jazz
4,0.944469,0.647345,0.838625,0.060969,0.9352,0.8857,0.9544,jazz
5,0.97129,0.764782,0.861551,0.048383,0.953,0.9932,0.9544,jazz
6,0.97129,0.706024,0.875385,0.043485,0.953,0.9932,0.9544,jazz
7,0.97129,0.788002,0.898979,0.0352,0.953,0.9932,0.9544,jazz
8,0.97129,0.83676,0.912564,0.02871,0.953,0.9932,0.9544,jazz
9,0.97129,0.836552,0.923548,0.026656,0.953,0.9932,0.9544,jazz
10,0.972345,0.822223,0.92998,0.029332,0.9361,0.9932,0.9951,jazz
11,0.972345,0.876289,0.938686,0.021836,0.9361,0.9932,0.9951,jazz
12,0.972345,0.77536,0.928531,0.036504,0.9361,0.9932,0.9951,jazz
13,0.972345,0.828805,0.925354,0.036494,0.9361,0.9932,0.9951,jazz
14,0.972345,0.85586,0.92949,0.032868,0.9361,0.9932,0.9951,jazz
15,0.976954,0.821676,0.94226,0.028026,0.9515,0.9932,0.9951,jazz
16,0.979299,0.895015,0.948072,0.019511,0.9439,0.9932,0.9951,jazz
17,0.979299,0.850941,0.944954,0.025243,0.9439,0.9932,0.9951,jazz
18,0.979299,0.884662,0.94981,0.018094,0.9439,0.9932,0.9951,jazz
19,0.979299,0.881205,0.948727,0.022484,0.9439,0.9932,0.9951,jazz
20,0.980143,0.830507,0.94634,0.032335,0.9624,0.9932,0.9951,jazz
21,0.985612,0.874956,0.952963,0.025827,0.965,0.9932,0.9951,jazz
22,0.985612,0.883054,0.953838,0.023128,0.965,0.9932,0.9951,jazz
23,0.985612,0.880216,0.956016,0.024876,0.965,0.9932,0.9951,jazz
24,0.985612,0.88731,0.961412,0.021955,0.965,0.9932,0.9951,jazz
25,0.986975,0.907091,0.963814,0.020935,0.9695,0.9932,0.9951,jazz
26,0.990733,0.908003,0.960567,0.025603,0.982,0.9932,0.9951,jazz
27,0.990733,0.8815,0.96232,0.027737,0.982,0.9932,0.9951,jazz
28,0.990733,0.877425,0.962273,0.025608,0.982,0.9932,0.9951,jazz
29,0.990733,0.894415,0.966013,0.019603,0.982,0.9932,0.9951,jazz
30,0.990733,0.882518,0.968606,0.020982,0.982,0.9932,0.9951,jazz
31,0.990733,0.911859,0.970842,0.015782,0.982,0.9932,0.9951,jazz
32,0.990733,0.874852,0.972643,0.019423,0.982,0.9932,0.9951,jazz
33,0.990733,0.913646,0.974191,0.015982,0.982,0.9932,0.9951,jazz
34,0.990733,0.891164,0.971202,0.021848,0.982,0.9932,0.9951,jazz
35,0.990733,0.888302,0.970568,0.023104,0.982,0.9932,0.9951,jazz
36,0.990733,0.891658,0.972016,0.02296,0.982,0.9932,0.9951,jazz
37,0.990733,0.903846,0.973665,0.018293,0.982,0.9932,0.9951,jazz
38,0.990867,0.901481,0.972714,0.020209,0.9825,0.9932,0.9951,jazz
39,0.990867,0.861217,0.975216,0.023915,0.9825,0.9932,0.9951,jazz
40,0.990867,0.902552,0.97635,0.016541,0.9825,0.9932,0.9951,jazz
41,0.990867,0.920997,0.973252,0.017632,0.9825,0.9932,0.9951,jazz
42,0.990867,0.905172,0.97319,0.018685,0.9825,0.9932,0.9951,jazz
43,0.990867,0.921558,0.975101,0.017146,0.9825,0.9932,0.9951,jazz
44,0.991491,0.929528,0.977251,0.016031,0.9813,0.9932,0.9951,jazz
45,0.991885,0.834685,0.973205,0.026019,0.9827,0.9932,0.9951,jazz
46,0.993303,0.91625,0.973029,0.021741,0.9875,0.9932,0.9951,jazz
47,0.993303,0.92894,0.978236,0.016726,0.9875,0.9932,0.9951,jazz
48,0.993908,0.8943,0.977449,0.019344,0.9895,0.9932,0.9951,jazz
49,0.993908,0.902801,0.978879,0.019937,0.9895,0.9932,0.9951,jazz
50,0.993908,0.915475,0.978836,0.017254,0.9895,0.9932,0.9951,jazz
51,0.993908,0.935126,0.981146,0.013099,0.9895,0.9932,0.9951,jazz
52,0.993908,0.880117,0.976987,0.023012,0.9895,0.9932,0.9951,jazz
53,0.993908,0.91609,0.982985,0.013647,0.9895,0.9932,0.9951,jazz
54,0.993908,0.895659,0.97841,0.020542,0.9895,0.9932,0.9951,jazz
55,0.993908,0.847924,0.978307,0.02541,0.9895,0.9932,0.9951,jazz
56,0.994207,0.921541,0.982279,0.017022,0.9905,0.9932,0.9951,jazz
57,0.994207,0.890896,0.982885,0.02022,0.9905,0.9932,0.9951,jazz
58,0.994512,0.946576,0.987999,0.009472,0.9915,0.9932,0.9951,jazz
59,0.994571,0.914101,0.986871,0.014726,0.9916,0.9932,0.9951,jazz
60,0.995045,0.865409,0.978364,0.023795,0.9933,0.9932,0.9951,jazz
61,0.995045,0.913398,0.981892,0.018125,0.9933,0.9932,0.9951,jazz
62,0.996529,0.939412,0.986319,0.012603,0.9956,0.997,0.9951,jazz
63,0.996529,0.920713,0.98572,0.014632,0.9956,0.997,0.9951,jazz
64,0.996529,0.879972,0.983461,0.021108,0.9956,0.997,0.9951,jazz
65,0.996529,0.945228,0.987189,0.011844,0.9956,0.997,0.9951,jazz
66,0.996529,0.925818,0.983018,0.016584,0.9956,0.997,0.9951,jazz
67,0.996529,0.92537,0.984843,0.016633,0.9956,0.997,0.9951,jazz
68,0.996529,0.892187,0.980265,0.02626,0.9956,0.997,0.9951,jazz
69,0.996529,0.889061,0.983618,0.021555,0.9956,0.997,0.9951,jazz
70,0.996529,0.931891,0.985603,0.01526,0.9956,0.997,0.9951,jazz
71,0.996529,0.91324,0.985399,0.016107,0.9956,0.997,0.9951,jazz
72,0.996529,0.901305,0.984294,0.019586,0.9956,0.997,0.9951,jazz
73,0.996529,0.939989,0.986897,0.013665,0.9956,0.997,0.9951,jazz
74,0.996529,0.91451,0.983635,0.018566,0.9956,0.997,0.9951,jazz
75,0.996576,0.954217,0.987873,0.011461,0.9958,0.997,0.9951,jazz
76,0.996576,0.919309,0.988488,0.015341,0.9958,0.997,0.9951,jazz
77,0.996631,0.945391,0.991196,0.009875,0.9959,0.997,0.9951,jazz
