genre_a,genre_b,t,composition,n_events,entropy,unique_pitches,scale_conf_a,scale_conf_b,center_dist_a,center_dist_b
jazz,classical,0.0,0,32,3.7181,15,0.6562,0.625,0.125,0.2083
jazz,classical,0.0,1,43,3.9194,20,0.6047,0.5349,2.124,1.7907
jazz,classical,0.0,2,30,3.4859,13,0.6333,0.5667,0.9417,0.6083
jazz,classical,0.0,3,32,4.1403,20,0.5312,0.625,0.3464,0.013
jazz,classical,0.0,4,22,3.4474,12,0.6364,0.5455,0.3485,0.6818
jazz,classical,0.0526,0,36,4.1416,20,0.5278,0.5833,0.1019,0.2315
jazz,classical,0.0526,1,23,3.8279,16,0.6087,0.5652,0.9565,0.6232
jazz,classical,0.0526,2,30,4.1069,19,0.6667,0.5333,0.175,0.1583
jazz,classical,0.0526,3,24,3.455,13,0.7083,0.5,0.7118,0.3785
jazz,classical,0.0526,4,27,4.1064,19,0.5185,0.6296,1.3889,1.0556
jazz,classical,0.1053,0,32,3.7508,17,0.625,0.4688,1.0026,0.6693
jazz,classical,0.1053,1,37,4.2062,21,0.5676,0.6216,1.7387,1.4054
jazz,classical,0.1053,2,31,4.2202,20,0.4839,0.6774,0.5511,0.2177
jazz,classical,0.1053,3,31,4.6073,26,0.5161,0.7097,1.6183,1.2849
jazz,classical,0.1053,4,27,3.5562,14,0.3704,0.6667,0.9475,0.6142
jazz,classical,0.1579,0,29,3.5476,14,0.6897,0.5172,0.0057,0.3276
jazz,classical,0.1579,1,24,3.8035,15,0.7083,0.5417,1.1736,0.8403
jazz,classical,0.1579,2,27,3.5003,13,0.6296,0.6296,0.5185,0.8519
jazz,classical,0.1579,3,31,3.7844,16,0.4194,0.7097,0.6425,0.3091
jazz,classical,0.1579,4,27,3.9545,18,0.6296,0.4444,1.7407,1.4074
jazz,classical,0.2105,0,27,4.1343,19,0.4815,0.6296,0.3056,0.0278
jazz,classical,0.2105,1,32,3.2011,13,0.625,0.4688,0.4271,0.7604
jazz,classical,0.2105,2,34,4.1463,20,0.5588,0.7059,0.277,0.0564
jazz,classical,0.2105,3,21,3.4633,14,0.7143,0.5238,0.3571,0.6905
jazz,classical,0.2105,4,26,3.3158,14,0.8077,0.4231,0.25,0.5833
jazz,classical,0.2632,0,32,3.9056,16,0.5938,0.5625,0.2214,0.112
jazz,classical,0.2632,1,24,4.1368,19,0.5833,0.625,0.5174,0.184
jazz,classical,0.2632,2,27,3.4821,13,0.7037,0.5185,0.6852,0.3519
jazz,classical,0.2632,3,25,3.8937,16,0.48,0.72,1.2867,0.9533
jazz,classical,0.2632,4,22,3.043,11,0.4091,0.6818,0.4962,0.8295
jazz,classical,0.3158,0,22,3.7499,16,0.5909,0.5,0.8258,0.4924
jazz,classical,0.3158,1,30,4.0062,18,0.4333,0.7667,0.025,0.3083
jazz,classical,0.3158,2,26,4.027,18,0.6154,0.6538,1.6474,1.3141
